place_guess,latitude,longitude,positional_accuracy,place_town_name,place_county_name,place_state_name,species_guess,scientific_name
"Mill Park Drive Ext, Charlottesville, VA, US",38.06585,-78.4789283333,7,,Albemarle,Virginia,Spotted Lanternfly,Lycorma delicatula
"Frederick County, VA, USA",39.0370861111,-78.158325,4,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Massanutten Resort, McGaheysville, VA, US",38.4235138027,-78.747282168,5,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"Lynchburg County, US-VA, US",37.3774414063,-79.2076416016,40,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Massanutten Resort, Penn Laird, VA, US",38.407827909,-78.758516965,65,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"Anna Mae Ct, Strasburg, VA, US",38.9837389577,-78.3469590719,86,,Shenandoah,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blue Ridge St, Lynchburg, VA, US",37.400974,-79.178256,5631,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Manassas, VA 20109, USA",38.751288457,-77.527834028,79,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Middletown, VA 22645, USA",39.0276071043,-78.2805581018,1619,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
Middletown,39.0276071043,-78.2805581018,1615,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1658078997,-78.1658400997,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"White Post, VA 22663, USA",39.0446083333,-78.1525111111,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Candlers Mountain Rd, Lynchburg, VA, US",37.3702825425,-79.1790643306,35,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Courtney Cir, Strasburg, VA, US",38.9959616667,-78.3427116667,5,,Shenandoah,Virginia,Spotted Lanternfly,Lycorma delicatula
"Candlers Mountain Rd, Lynchburg, VA, US",37.3695263535,-79.1814336942,34,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
163 Squaw Path Way,38.9404006376,-78.0450772494,187,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Rivermont Ave, Lynchburg, VA, US",37.4411866667,-79.1662055,4,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Lake Frederick, VA 22630, USA",38.9621068072,-78.0425864831,192,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Sky Meadows State Park, Delaplane, VA, US",38.9897416667,-77.97325,4,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Paris, VA, US",39.000194445,-77.97593,4,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Ida Lee Park Recreation Center, Leesburg, VA, US",39.1245278333,-77.5708466667,6,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"Luray, VA 22835, USA",38.654776,-78.4746874,16,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Seldon Dr, Winchester, VA, US",39.1784166667,-78.18792,4,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Clarke County, US-VA, US",39.0184326172,-78.0289306641,4,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"George Washington & Jefferson National Forests, Luray, VA, US",38.6764133333,-78.5700616667,24,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bull Run Post Office Rd, Centreville, VA, US",38.8170577074,-77.4934949894,20,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
"Robinhood Ln, Front Royal, VA, US",38.908275,-78.1682583333,4,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Strasburg, VA 22657, USA",38.9867235997,-78.3602726997,,,Shenandoah,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blue Ridge St, Lynchburg, VA, US",37.400974,-79.178256,5631,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Front Royal, VA 22630, USA",38.9587259722,-78.1957129722,,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Spring Creek Dr, Forest, VA, US",37.3685033333,-79.2583,3,,Bedford,Virginia,Spotted Lanternfly,Lycorma delicatula
"Wards Rd, Lynchburg, VA, US",37.3629762436,-79.1823474067,25,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Wards Rd, Lynchburg, VA, US",37.3681112925,-79.1827265564,25,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Montview, Lynchburg, VA, USA",37.3671966,-79.17287668,5,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",38.9860646606,-77.2784487318,24,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blue Ridge St, Lynchburg, VA, US",37.400974,-79.178256,5631,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bowers Hill Dr, Haymarket, VA, US",38.8381383333,-77.633295,4,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
Fairfax,38.8559494019,-77.35987854,81,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester Rd, Front Royal, VA, US",38.958705,-78.1956033333,35,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Delicious Rd, Linden, VA, US",38.9267072522,-78.0884023116,35,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
Montessori Children's House,37.4024503516,-79.1809974611,196,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Charlottesville, VA, US",37.97533,-78.59407,11,,Albemarle,Virginia,Spotted Lanternfly,Lycorma delicatula
"Old Stage Rd, Amherst, VA, US",37.5563046215,-79.0547946862,306,,Amherst,Virginia,Spotted Lanternfly,Lycorma delicatula
"Main St, Middletown, VA, US",39.0281891744,-78.2790957192,19,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Preston Ave, Charlottesville, VA, US",38.0344166667,-78.4875866667,4,,Charlottesville City,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blue Ridge St, Lynchburg, VA, US",37.400974,-79.178256,5631,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Front Royal, VA 22630, USA",38.9171291794,-78.1907728314,4,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Linton Hall, Bristow, VA, USA",38.773222581,-77.5670871511,190,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Homestead Rd, Elkton, VA, US",38.4400783333,-78.631155,3,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"Greenwood Way, Nokesville, VA, US",38.7203116667,-77.67198,4,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Scott's Addition Historic District, Richmond, VA 23230, USA",37.569299,-77.474252,,,Richmond city,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blueridge Mountain Rd, Bluemont, VA, US",39.1112888333,-77.845375,3,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"Liberty University- Green Hall Transfer Station, Lynchburg, VA 24502, USA",37.3568638889,-79.1736166667,,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Gore, VA 22637, USA",39.2705771431,-78.3817266673,85,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
Madison,38.4859657288,-78.3309326172,14,,Madison,Virginia,Spotted Lanternfly,Lycorma delicatula
"W Reservoir Rd, Woodstock, VA, US",38.8722283333,-78.52932,13,,Shenandoah,Virginia,Spotted Lanternfly,Lycorma delicatula
"Overbrook Ln, Front Royal, VA, US",38.9644075955,-78.1512785753,42,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Afton, VA, US",38.0276945,-78.870095,4,,Nelson,Virginia,Spotted Lanternfly,Lycorma delicatula
"Prince William County, VA, USA",38.674419445,-77.479294445,4,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Farms River Rd, Front Royal, VA, US",38.9787866667,-78.084275,35,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Greenwood, VA 22943, USA",38.0601545617,-78.8532147557,267,,Augusta,Virginia,Spotted Lanternfly,Lycorma delicatula
"Nokesville, VA 20181, USA",38.683573,-77.578129,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Sky Meadows State Park, Delaplane, VA, US",38.9908038226,-77.9689052186,4,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Hurd Ln, Haymarket, VA, US",38.8092524704,-77.6654857229,153,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Front Royal, VA 22630, USA",38.9586467,-78.1956113,8,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Keezletown, VA, US",38.4429174191,-78.7404764324,4,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"Wise St, McLean, VA, US",38.9283866667,-77.1812133333,5,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
"Leesburg, VA, USA",39.1176539,-77.5668745,14,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"Granny Smith Rd, Linden, VA, US",38.9196383333,-78.0876166667,27,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
Strasburg,38.9887167249,-78.3586160839,3353,,Shenandoah,Virginia,Spotted Lanternfly,Lycorma delicatula
"Government Center Trail, Fairfax, VA, US",38.8558666667,-77.3598466667,16,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
"Sky Meadows State Park, Paris, VA, US",39.0093650223,-77.9799464652,4,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Front Royal, Virginia 22630, EE. UU.",38.9584139722,-78.1958949722,,,Warren,Virginia,Chinche linterna manchada,Lycorma delicatula
"Sully Historic Site, Chantilly, VA, US",38.9085174465,-77.4271099211,63,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
"Brockmeyer Ct, Chantilly, VA, US",38.9092084626,-77.4284180348,3,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
"Williams Rd, Lynchburg, VA, US",37.4532519408,-79.1944932154,7,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Greater Fairfax, Fairfax, VA, US",38.8560333333,-77.3602666667,4,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
Front Royal,38.9375,-78.1993560791,4,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Elkton, VA 22827, USA",38.3977986176,-78.7159335986,8,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"Northwestern Pike, Gore, VA, US",39.2675500738,-78.3402096706,9,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Fountainhead Regional Park, Fairfax Station, VA, US",38.7236117106,-77.3299314269,7,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.1840209961,-78.1640853882,8445,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Waterloo Bridge Cir, Haymarket, VA, US",38.8413134544,-77.6605225728,8,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Montview, Lynchburg, VA, USA",37.3674510255,-79.1758462787,273,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Shenandoah National Park, Elkton, VA, US",38.419905,-78.48838,4,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bluemont, VA, US",39.1130305,-77.8588116667,200,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bluemont, VA, US",39.0941195,-77.8800366667,,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Betsy Ln, Herndon, VA, US",38.8950866066,-77.3745437725,40,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
"Luray, VA 22835, USA",38.65471011,-78.47469792,9,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",38.4622338782,-78.4065155146,22,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Nokesville Rd, Manassas, VA, US",38.7382113934,-77.5290574507,9,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Hartzell Hill Ln, Haymarket, VA, US",38.8083024462,-77.6623931953,127,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Shetland Way, Culpeper, VA, US",38.4691283333,-77.9826966667,10,,Culpeper,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bluemont, VA 20135, USA",39.1301944427,-77.850227505,455,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blue Ridge St, Lynchburg, VA, US",37.400974,-79.178256,5631,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Luray, VA, US",38.63907,-78.36152,89,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Inchberry Ct, Bristow, VA, US",38.7352119361,-77.5838210746,46,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Lynchburg County, US-VA, US",37.3468170166,-79.17943573,200,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Sudley, VA 20109, USA",38.7984397942,-77.5010203198,350,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
Endless Caverns RV Resort & Cavern Tours,38.5951202629,-78.6754624173,214,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bluemont, VA 20135, USA",39.1246888887,-77.8528969735,325,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Pinchot Ln, Haymarket, VA, US",38.8113283333,-77.6636366667,21,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
Skyline View Dr,38.8883057495,-78.1193583459,190,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Mill Reef Rd, Upperville, VA, US",38.9698216506,-77.8720638715,4,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Shenandoah National Park, Elkton, VA, US",38.4869783333,-78.499245,43,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Massanutten, VA, USA",38.41052154,-78.75006741,7,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"Colonel Taylor Ln, Centreville, VA, US",38.8154237437,-77.4522182694,42,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
"Waynesboro, VA 22980, USA",38.071699,-78.8835049722,,,Waynesboro,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",38.6148414582,-77.6292087186,4,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Eighth St, Shenandoah, VA, US",38.4843166667,-78.61377,4,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
Delaplane,38.992515564,-77.9512023926,1100,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
Upperville,38.9898719788,-77.9504852295,2000,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Eighth St, Shenandoah, VA, US",38.4843166667,-78.61377,4,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
Paris,39.0092468262,-77.9814682007,3451,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
Bluemont,39.0592651367,-77.9268112183,29,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
Bluemont,39.065657,-77.918838,,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Virginia, US",39.1556824498,-77.6791239083,23,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"Ambassador Whitehouse Trail, Paris, VA, US",38.9990116667,-77.9765333333,5,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Innovation Dr, Manassas, VA, US",38.7496866667,-77.5246366667,5,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Tullamore Ct, Manassas, VA, US",38.7218666667,-77.4505616667,6,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Sky Meadows State Park, Paris, VA, US",38.9876868191,-77.9446323474,4,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.600892,-77.2660039722,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.5984669722,-77.262127,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.598128,-77.261966,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.5981239722,-77.26196,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.597895,-77.2618489722,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.5985069722,-77.26223,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.5993254053,-77.2631331906,4,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.5984339722,-77.2622099722,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.5984309722,-77.2622089722,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.598435,-77.2621699722,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.600591,-77.2660139722,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.6006259722,-77.266045,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Shenandoah National Park, Elkton, VA, US",38.477255,-78.4824,36,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Haymarket, VA 20169, USA",38.8821409722,-77.6893019722,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Haymarket, VA 20169, USA",38.8821409722,-77.6893019722,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Haymarket, VA 20169, USA",38.8820849722,-77.6894029722,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
Skyline View Drive,38.8883057495,-78.1193583459,190,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Liberty Mountain Dr, Lynchburg, VA, US",37.3337666667,-79.1905133333,28,,Campbell,Virginia,Spotted Lanternfly,Lycorma delicatula
"Woodbridge, VA 22191, USA",38.594371,-77.253133,,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Front Royal, VA, US",38.895245,-78.1437305,4,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Douglass Community Center, Leesburg, VA, US",39.1084035506,-77.5557305019,4,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"Lynchburg, VA",37.4137536,-79.1422464,7967,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"I-81 S, Timberville, VA, US",38.6170234603,-78.7061920095,77,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"Rivermont Ave, Lynchburg, VA, US",37.437745,-79.1611416667,18,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Waynesboro, VA 22980, USA",38.071708,-78.88329,,,Waynesboro,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blackfeet Trail, Shawnee Land, VA, US",39.1909697838,-78.340662215,7,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Luray, VA 22835, USA",38.65472239,-78.47475656,9,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Radford, VA 24142, USA",37.1390403337,-80.5468782037,9,,Radford,Virginia,Spotted Lanternfly,Lycorma delicatula
"Crimson Ln, Linden, VA, US",38.9185627085,-78.0691753049,3,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Massanutten, VA, USA",38.4045736107,-78.7529212609,8,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"W Market St, Leesburg, VA, US",39.11575,-77.5655666667,11,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"Shenandoah National Park, Front Royal, VA, US",38.8613283333,-78.2044916667,200,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Luray, VA 22835, USA",38.65497717,-78.51846619,4,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"10176 Harry Byrd Hwy, Berryville, VA, US",39.1698333333,-78.0085833333,8,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"White Post, VA 22663, USA",39.0499999997,-78.0699998997,,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"George Washington & Jefferson National Forests, Churchville, VA, US",38.2962133333,-79.2259966667,4,,Augusta,Virginia,Spotted Lanternfly,Lycorma delicatula
Waynesboro,38.0637817383,-78.8732070923,35,,Waynesboro,Virginia,Spotted Lanternfly,Lycorma delicatula
Bluemont,39.0985717773,-77.8753662109,4,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Government Center Trail, Fairfax, VA, US",38.8557936112,-77.3596378975,5,,Fairfax,Virginia,Spotted Lanternfly,Lycorma delicatula
"Stanley, VA 22851, USA",38.5780123218,-78.5132109001,472,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Boyce, VA 22620, USA",39.0600499668,-78.0620918423,4,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Boyce, VA 22620, USA",39.0597216808,-78.06294512,4,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Black Willow Dr, Aldie, VA, US",38.9340589206,-77.5834593257,50,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"George Washington & Jefferson National Forests, Front Royal, VA, US",38.9445883333,-78.2989583333,8344,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester Rd, Front Royal, VA, US",38.9585883333,-78.1957383333,4,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Waynesboro, VA 22980, USA",38.071801,-78.883594,,,Waynesboro,Virginia,Spotted Lanternfly,Lycorma delicatula
"Location: 38.880026, -78.107877",38.8800260155,-78.1078771502,,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Glen Allen, VA, USA",37.6490964048,-77.5073231757,6,,Henrico,Virginia,Spotted Lanternfly,Lycorma delicatula
"Harrison St, Lynchburg, VA, US",37.4151833333,-79.1490945,4,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
Bluemont,39.0712890625,-77.9192581177,737,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bel Voi Dr, Berryville, VA, US",39.1477073256,-77.9685584806,74,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Prince William County, VA, USA",38.8821730164,-77.6891750964,15,,Prince William,Virginia,Spotted Lanternfly,Lycorma delicatula
"Warrenton, VA, US",38.7832966667,-77.7934283333,24,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Curie Hall, Radford, VA 24142, USA",37.1401307996,-80.5502846092,4,,Radford,Virginia,Spotted Lanternfly,Lycorma delicatula
"Tate Springs, Lynchburg, VA 24501, USA",37.4211514456,-79.174207449,94,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Waynesboro, VA 22980, USA",38.0698917678,-78.8899720833,11,,Waynesboro,Virginia,Spotted Lanternfly,Lycorma delicatula
"Depot Ct SE, Leesburg, VA, US",39.1095723329,-77.5610526661,4,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"Depot Ct SE, Leesburg, VA, US",39.1095561068,-77.5610688447,4,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"Lewis St, Culpeper, VA, US",38.4842281609,-77.9967372771,4,,Culpeper,Virginia,Spotted Lanternfly,Lycorma delicatula
Boyce,39.0576171875,-78.0671463013,8000,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Venable, Charlottesville, VA 22903, USA",38.0362281275,-78.4959170222,3680,,Charlottesville City,Virginia,Spotted Lanternfly,Lycorma delicatula
"Timberville, VA 22853, USA",38.61813,-78.7056649722,,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"University of Lynchburg, Lynchburg, VA, US",37.4004740874,-79.1819494796,266,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Massanutten, VA, USA",38.4069161366,-78.7559893727,202,,Rockingham,Virginia,Spotted Lanternfly,Lycorma delicatula
"Rust Nature Sanctuary, Leesburg, VA, US",39.1207563758,-77.5873643096,48,,Loudoun,Virginia,Spotted Lanternfly,Lycorma delicatula
"Ambassador Whitehouse Trail, Paris, VA, US",39.00314445,-77.9735633333,5,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blackwater Creek, Lynchburg, VA, US",37.4015966667,-79.1839833333,4,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Tenth St NE, Roanoke, VA, US",37.2878416667,-79.9229283333,5,,Roanoke city,Virginia,Spotted Lanternfly,Lycorma delicatula
"University of Lynchburg, Lynchburg, VA, US",37.3989381602,-79.1866402545,4,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"University of Lynchburg, Lynchburg, VA, US",37.3989633333,-79.1865216667,9,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"University of Lynchburg, Lynchburg, VA, US",37.3986205319,-79.1881209054,4,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"University of Lynchburg, Lynchburg, VA, US",37.398995,-79.1868833333,3,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"University of Lynchburg, Lynchburg, VA, US",37.3990017409,-79.1868150887,4,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"University of Lynchburg, Lynchburg, VA, US",37.3989484535,-79.1868624495,4,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"University of Lynchburg, Lynchburg, VA, US",37.3986804284,-79.1881862152,4,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"University of Lynchburg, Lynchburg, VA, US",37.3989433768,-79.1868269258,4,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"University of Lynchburg, Lynchburg, VA, US",37.3989309233,-79.1867860926,250,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Mountain Rd, Front Royal, VA, US",38.9022166667,-78.2826383333,36,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Blue Ridge St, Lynchburg, VA, US",37.400974,-79.178256,5631,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Stratford Rd, Lynchburg, VA, US",37.397349032,-79.1946332039,395,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Lynchburg, VA, USA",37.347435,-79.231575,,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
Front Royal,38.8873023987,-78.165473938,,,Warren,Virginia,Spotted Lanternfly,Lycorma delicatula
"Lynchburg College, Lynchburg, VA, USA",37.3978995359,-79.1834838688,61,,Lynchburg,Virginia,Spotted Lanternfly,Lycorma delicatula
"Ambassador Whitehouse Trail, Paris, VA, US",38.9997,-77.9763033333,4,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Sky Meadows State Park, Linden, VA, US",38.9927416667,-77.9840616667,5,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
"Appalachain Trail, Boyce, VA, US",39.0001916667,-77.98475,4,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Bluemont, VA, US",39.1143028333,-77.84897,4,,Clarke,Virginia,Spotted Lanternfly,Lycorma delicatula
"Luray, VA 22835, USA",38.6851665,-78.4188796,3500,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Luray, VA 22835, USA",38.7206235059,-78.4652208164,365,,Page,Virginia,Spotted Lanternfly,Lycorma delicatula
"Trico Fire Rd, Delaplane, VA, US",38.9559783333,-77.9931633333,10,,Fauquier,Virginia,Spotted Lanternfly,Lycorma delicatula
